k,theta,sigma,v0,rho,T,Strike,Price
0.678201,0.397614,0.065490,0.585239,-0.799177,0.881146,0.722840,0.117979
0.399219,0.155479,0.306951,0.220654,-0.354074,0.620288,1.255880,0.315644
0.058758,0.727755,0.261510,0.590453,-0.982823,0.263021,1.210680,0.293145
0.608406,0.722067,0.228048,0.157691,-0.610286,1.618104,0.625960,0.097798
0.277448,0.685016,0.368925,0.574021,-0.060637,0.433987,1.078280,0.246142
0.441987,0.016044,0.044997,0.774918,-0.689386,0.869071,1.274920,0.484346
0.542075,0.304631,0.840561,0.155242,-0.152311,0.749854,1.265000,0.319821
0.795416,0.736445,0.385953,0.700105,-0.012523,0.374571,1.053000,0.235055
0.502278,0.561223,0.344175,0.134623,-0.973021,1.027963,1.197240,0.304464
0.700971,0.148527,0.414465,0.304315,-0.098851,1.556388,0.677480,0.077513
0.507624,0.797670,0.080636,0.752166,-0.405454,1.839096,1.206840,0.599597
0.345165,0.369095,0.893625,0.377232,-0.466141,0.864471,1.373960,0.457106
0.611376,0.761093,0.175380,0.538471,-0.127561,0.292346,1.082440,0.210561
0.961341,0.286224,0.850263,0.611625,-0.840361,1.138938,0.683160,0.113245
0.292596,0.178073,0.876893,0.557984,-0.423571,1.957546,1.216840,0.449825
0.808188,0.030738,0.707010,0.227764,-0.776506,0.350613,1.369000,0.374161
0.690477,0.686359,0.680280,0.616839,-0.962527,1.701096,1.077320,0.406754
0.593259,0.347607,0.997575,0.360326,-0.247846,0.782629,1.000680,0.192044
0.825018,0.242616,0.650877,0.581842,-0.196663,0.992313,1.105880,0.327082
0.586130,0.207461,0.896991,0.523145,-0.264578,0.538254,0.919880,0.148112
0.826602,0.708163,0.638997,0.410491,-0.654143,0.239254,1.214840,0.267312
0.455352,0.601750,0.520494,0.054675,-0.276853,0.197854,1.073000,0.093989
0.209436,0.062654,0.394170,0.506081,-0.933817,0.948613,1.319560,0.457953
0.845313,0.787716,0.088953,0.313478,-0.810859,0.367096,0.824040,0.065155
0.344471,0.583422,0.953717,0.435218,-0.588704,1.518054,0.801960,0.177502
0.423275,0.200114,0.062322,0.548346,-0.159439,0.577929,0.699400,0.068131
0.290517,0.061784,0.496239,0.352584,-0.789277,0.493979,0.908200,0.110474
0.021930,0.384184,0.423870,0.388213,-0.958369,0.794896,1.211320,0.338266
0.690081,0.068500,0.121721,0.487911,-0.415750,1.990321,1.302360,0.508445
0.327543,0.345632,0.836006,0.769625,-0.866695,1.016846,0.639880,0.121026
0.363084,0.068816,0.961935,0.554745,-0.963319,1.510771,1.355640,0.441380
0.360510,0.030500,0.477131,0.287014,-0.711761,0.161054,1.352760,0.358000
0.155976,0.278324,0.066282,0.555377,-0.609395,0.813104,1.310280,0.475776
0.239433,0.068895,0.355659,0.233926,-0.353182,0.782246,0.849960,0.087614
0.611772,0.328015,0.694140,0.764095,-0.009454,0.302696,1.089880,0.240289
0.939462,0.508451,0.716118,0.663212,-0.113107,1.405162,1.031960,0.362337
0.528711,0.469030,0.674439,0.435455,-0.588010,0.665138,1.177400,0.313177
0.761856,0.597484,0.038166,0.496048,-0.684535,1.070704,1.050280,0.325278
0.085290,0.643383,0.604149,0.503868,-0.218741,1.007837,0.934760,0.228577
0.640284,0.063049,0.185973,0.142681,-0.354766,1.812071,1.159160,0.273663
0.397437,0.541473,0.959361,0.691020,-0.341005,1.835263,0.711560,0.199242
0.121028,0.536654,0.866301,0.784319,-0.893821,0.493596,1.095960,0.284701
0.628107,0.660210,0.025890,0.351083,-0.783041,0.736246,0.831560,0.125417
0.985001,0.326119,0.961836,0.751376,-0.713245,1.279621,1.097400,0.351838
0.798783,0.786926,0.657213,0.455363,-0.073805,1.664679,1.214440,0.527796
0.579794,0.113293,0.595140,0.205091,-0.455252,1.678671,0.883000,0.131917
0.303783,0.133200,0.930255,0.757854,-0.782546,0.828438,1.243000,0.414280
0.025098,0.519827,0.852044,0.493915,-0.023710,0.186546,1.187480,0.244951
0.586428,0.529307,0.406446,0.753904,-0.940252,0.088796,0.726680,0.012726
0.895110,0.222866,0.994011,0.387265,-0.231808,1.887587,1.015400,0.271033
0.952133,0.376363,0.887091,0.445093,-0.309424,0.843196,0.924520,0.179408
0.507128,0.122615,0.403674,0.697103,-0.152609,0.397188,1.276920,0.388617
0.851649,0.708558,0.622167,0.583817,-0.348035,1.268313,1.269080,0.520491
0.640185,0.045353,0.409218,0.516587,-0.456044,1.809579,0.738920,0.143538
0.812049,0.067868,0.306555,0.716142,-0.603751,0.813488,0.804360,0.148044
0.921146,0.416416,0.447530,0.134860,-0.491783,0.487271,1.095320,0.174447
0.294278,0.471558,0.653451,0.525989,-0.864815,0.219321,0.740440,0.034122
0.966786,0.217889,0.475251,0.605621,-0.978764,1.907137,1.189000,0.428477
0.128157,0.437272,0.136274,0.117480,-0.579794,1.184171,0.847480,0.085737
0.576132,0.280457,0.711365,0.563909,-0.485150,0.645971,0.883880,0.155599
0.042225,0.156664,0.134790,0.264736,-0.301999,1.066296,1.231000,0.362034
0.750669,0.095123,0.404168,0.202721,-0.696317,1.708954,0.817160,0.105162
0.895704,0.537285,0.015593,0.217968,-0.211909,1.189154,0.888040,0.183705
0.718890,0.487121,0.615534,0.236454,-0.484258,1.546421,0.813720,0.163343
0.693942,0.611940,0.586230,0.595272,-0.779575,1.618679,0.678040,0.170608
0.766113,0.052937,0.292002,0.385448,-0.624541,0.124637,0.677160,0.003043
0.830859,0.360721,0.417534,0.563751,-0.652658,0.236188,1.088520,0.194129
0.804822,0.241510,0.206367,0.034451,-0.168745,0.901079,1.327560,0.355175
0.507920,0.039112,0.616722,0.050172,-0.741163,1.753996,0.685800,0.020658
0.605238,0.268607,0.467033,0.402196,-0.734630,0.991546,0.645480,0.069810
0.490893,0.423763,0.697110,0.324302,-0.967676,1.262179,0.652040,0.086243
0.823533,0.386791,0.632561,0.155637,-0.642163,0.237721,1.073080,0.120924
0.081428,0.655470,0.047868,0.027972,-0.427729,1.799613,1.222200,0.291179
0.974211,0.200193,0.613158,0.480880,-0.525046,0.878079,1.291960,0.412401
0.702951,0.445409,0.226761,0.392716,-0.652262,1.346321,0.616040,0.089020
0.905802,0.245223,0.965301,0.355349,-0.013414,0.861404,1.143480,0.288973
0.662955,0.630664,0.368133,0.634219,-0.609592,0.343329,0.614600,0.029960
0.242304,0.578208,0.621177,0.429530,-0.418522,1.580537,0.838520,0.209978
0.120138,0.017229,0.183498,0.442723,-0.315265,0.858146,0.958120,0.209380
0.430107,0.439958,0.449115,0.127513,-0.690574,1.620213,0.692040,0.080660
0.297546,0.140153,0.667706,0.599696,-0.789971,0.351188,0.608280,0.029207
0.062124,0.191108,0.343382,0.156348,-0.325858,0.658813,0.984120,0.115728
0.551283,0.109184,0.791358,0.515403,-0.500494,0.890346,1.021000,0.236090
0.197853,0.780132,0.630285,0.156269,-0.321304,1.843888,0.926520,0.201420
0.822443,0.568649,0.207357,0.276823,-0.872042,1.462087,1.233240,0.448538
0.641966,0.660605,0.514455,0.080034,-0.738490,1.135679,1.060200,0.232174
0.621771,0.545185,0.609396,0.226816,-0.964310,0.858913,0.723960,0.072830
0.312792,0.496917,0.832344,0.598037,-0.837788,1.332521,1.377400,0.533948
0.371202,0.625213,0.114891,0.280378,-0.389713,1.161171,1.364760,0.505650
0.757203,0.020467,0.176172,0.112423,-0.766111,0.886129,0.731960,0.019719
0.159639,0.615891,0.658500,0.215440,-0.170725,1.519971,0.918840,0.178725
0.223494,0.067710,0.301901,0.515956,-0.685327,0.736629,1.167800,0.336421
0.570686,0.113688,0.240720,0.033108,-0.355459,1.741346,1.008040,0.130378
0.383082,0.296810,0.414366,0.182971,-0.296950,1.093129,0.642520,0.037968
0.313881,0.747268,0.271212,0.523303,-0.347243,1.050388,1.326360,0.523683
0.113504,0.312452,0.235176,0.796485,-0.114097,0.317646,1.273800,0.385793
0.613257,0.030185,0.380607,0.263788,-0.205078,0.872521,0.726600,0.048866
0.224880,0.163379,0.758787,0.795458,-0.250816,1.338271,1.013400,0.357179
0.533166,0.695681,0.712950,0.037848,-0.214681,1.215604,0.744280,0.072542
0.641670,0.048829,0.724533,0.790955,-0.237847,0.282571,0.852440,0.101771
0.569894,0.310635,0.954708,0.136519,-0.544153,1.641296,0.750920,0.085944
0.504059,0.243485,0.999357,0.034214,-0.055094,0.394696,1.049000,0.079399
0.296853,0.204696,0.896792,0.257783,-0.271606,0.624313,0.838440,0.073790
0.486438,0.704055,0.857094,0.288515,-0.565339,0.873096,1.351720,0.437547
0.965597,0.734865,0.899367,0.481512,-0.398128,1.303388,0.838760,0.222595
0.974805,0.170015,0.318633,0.493757,-0.739183,1.544313,0.901880,0.214626
0.776112,0.780685,0.998862,0.643304,-0.604048,0.471171,1.292040,0.401228
0.125780,0.120482,0.178647,0.367436,-0.011138,1.054796,0.919480,0.190611
0.900158,0.141259,0.212703,0.332518,-0.372686,1.852513,0.937640,0.216582
0.803634,0.312768,0.578904,0.251148,-0.264379,1.473971,1.207560,0.374888
0.264578,0.744345,0.472479,0.215914,-0.051628,0.401404,1.314920,0.351189
0.975893,0.331412,0.435948,0.335994,-0.820067,0.802754,0.651960,0.052662
0.053214,0.461446,0.358233,0.048750,-0.665231,1.537029,0.627080,0.016909
0.693546,0.687307,0.346847,0.764727,-0.795118,1.011288,0.784200,0.198443
0.050640,0.782739,0.738789,0.774523,-0.124492,0.615879,1.129480,0.348627
0.258738,0.682330,0.352590,0.521723,-0.005692,1.890846,1.308920,0.614774
0.414762,0.501973,0.899763,0.770336,-0.312296,0.139204,1.032040,0.146363
0.424068,0.315217,0.934908,0.748927,-0.955399,1.646087,1.317560,0.506574
0.044699,0.447304,0.380508,0.245539,-0.804029,0.726088,0.991320,0.156827
0.598506,0.791113,0.445551,0.250200,-0.265370,0.431879,0.756200,0.042226
0.502673,0.264103,0.448719,0.385843,-0.603949,0.589238,0.670920,0.045119
0.614841,0.321221,0.017178,0.187948,-0.943124,1.112679,0.657080,0.044996
0.490100,0.756985,0.914216,0.062969,-0.850954,1.300129,1.304840,0.373352
0.797594,0.157296,0.846798,0.736129,-0.371101,1.485088,0.606040,0.106117
0.387834,0.711797,0.559302,0.152951,-0.513463,1.481446,0.717080,0.102894
0.360312,0.717801,0.372093,0.467608,-0.986981,0.973529,0.942520,0.229710
0.343284,0.748453,0.849471,0.335757,-0.411098,1.723904,1.153960,0.395030
0.927483,0.373677,0.170727,0.756116,-0.357340,0.844154,1.080280,0.337512
0.561678,0.636036,0.131919,0.718749,-0.306257,0.295988,1.034520,0.202076
0.469410,0.795537,0.086577,0.132569,-0.186862,0.932704,0.799400,0.091716
0.448719,0.601276,0.513663,0.339944,-0.368923,1.456146,0.953960,0.258266
0.348630,0.641250,0.830859,0.065972,-0.886099,0.550713,0.768200,0.026333
0.208248,0.164564,0.100734,0.661632,-0.067567,1.754188,0.845400,0.282908
0.675132,0.331096,0.950154,0.536654,-0.315760,0.855846,0.769400,0.120044
0.070637,0.468477,0.285666,0.635878,-0.200426,1.026046,1.037560,0.333057
0.166965,0.590058,0.635037,0.762278,-0.952825,1.101754,0.671560,0.149166
0.677013,0.675931,0.123405,0.095992,-0.299920,1.430846,0.840120,0.165488
0.950945,0.652073,0.756906,0.464448,-0.208345,1.362229,0.793800,0.198041
0.645531,0.671664,0.438423,0.146710,-0.754628,1.437171,0.919720,0.210476
0.525741,0.137704,0.388626,0.462710,-0.745718,1.795588,1.251320,0.450559
0.539205,0.340102,0.344769,0.385527,-0.338530,1.583988,1.249480,0.460417
0.420702,0.224604,0.899565,0.482855,-0.153994,0.353488,1.263240,0.336378
0.623058,0.231082,0.842838,0.128856,-0.114592,1.051154,1.055880,0.176579
0.233889,0.352347,0.044106,0.260864,-0.765022,0.369204,0.620840,0.007160
0.973419,0.212833,0.165876,0.183919,-0.584545,0.733563,1.111560,0.216111
0.876300,0.259838,0.589101,0.300760,-0.450499,0.926379,0.901240,0.142417
0.547025,0.609492,0.181122,0.017071,-0.277744,1.835838,1.374680,0.521874
0.262896,0.420524,0.541284,0.298864,-0.498020,0.456604,1.379080,0.415408
0.658995,0.740237,0.083211,0.406541,-0.472477,1.803829,0.820760,0.261321
0.225672,0.317903,0.346353,0.013121,-0.638599,1.079329,0.796120,0.022094
0.278439,0.550084,0.723840,0.158086,-0.843925,0.363837,0.727480,0.018167
0.714237,0.760461,0.372687,0.586266,-0.538412,0.996721,1.217240,0.449789
0.821453,0.170884,0.678597,0.355586,-0.142411,1.455763,1.007880,0.239732
0.980448,0.783687,0.273093,0.481196,-0.755617,1.409763,0.921640,0.300898
0.048560,0.252412,0.395159,0.447383,-0.411296,0.896863,1.270520,0.422313
0.806703,0.785425,0.017475,0.629242,-0.668794,0.747554,1.329400,0.510334
0.453669,0.610914,0.589398,0.746557,-0.725423,0.887854,1.293480,0.492409
0.961935,0.716379,0.127464,0.465712,-0.649885,1.971538,0.939560,0.368569
0.812742,0.319325,0.593654,0.134070,-0.744430,1.825679,1.312040,0.426496
0.604644,0.607991,0.598704,0.413888,-0.931837,1.552554,0.748680,0.171971
0.594447,0.285197,0.477627,0.749243,-0.001633,1.622321,1.236040,0.537701
0.881547,0.094807,0.771954,0.315928,-0.107563,1.051729,1.011160,0.190688
0.102614,0.424395,0.956786,0.383947,-0.290812,1.172862,0.843160,0.149351
0.739977,0.605067,0.937878,0.494468,-0.606622,1.857879,0.706600,0.179834
0.170034,0.304947,0.802446,0.343578,-0.227453,0.498963,0.776920,0.059530
0.022623,0.112503,0.043017,0.158560,-0.130531,1.380054,0.664600,0.039559
0.332691,0.594956,0.181023,0.286935,-0.147757,1.685954,0.849080,0.208695
0.524949,0.189370,0.400902,0.139758,-0.430997,0.152046,0.813800,0.005989
0.725522,0.723094,0.797496,0.218757,-0.704830,0.320329,1.316280,0.335078
0.168054,0.449675,0.312099,0.624976,-0.716908,1.571721,1.334760,0.592804
0.616524,0.030975,0.440304,0.321537,-0.717700,0.142079,0.985880,0.075587
0.911049,0.504974,0.133304,0.398957,-0.915701,0.512571,0.971880,0.166245
0.832245,0.463658,0.671073,0.143313,-0.949658,0.145146,1.293800,0.293987
0.144491,0.763226,0.093011,0.669137,-0.111919,0.656896,0.625800,0.072399
0.475845,0.546608,0.488319,0.032239,-0.646321,0.825754,1.179640,0.230248
0.883824,0.369727,0.762945,0.378417,-0.989456,1.126862,0.633320,0.077774
0.123206,0.333940,0.778289,0.580183,-0.935005,1.303196,1.178280,0.385340
0.339423,0.014226,0.619098,0.672139,-0.984011,1.371238,1.129000,0.372031
0.046086,0.548424,0.518216,0.726649,-0.887783,1.658162,0.675480,0.191635
0.891248,0.463184,0.893228,0.491782,-0.706909,1.072621,1.006760,0.257780
0.344967,0.333387,0.101228,0.633034,-0.638401,1.459788,1.061240,0.389175
0.048759,0.578682,0.202209,0.671744,-0.577516,0.695421,0.956920,0.237931
0.093309,0.589110,0.411792,0.239456,-0.753737,0.994804,0.685640,0.059839
0.325761,0.101363,0.968073,0.286619,-0.760072,1.745371,0.770920,0.103552
0.899267,0.054912,0.702852,0.614469,-0.490693,1.598746,1.057480,0.300017
0.105089,0.456548,0.719681,0.786926,-0.583159,0.445296,1.368200,0.477582
0.192705,0.182181,0.394764,0.349740,-0.665923,0.804671,1.108440,0.262964
0.095982,0.420208,0.098159,0.291043,-0.245173,1.318721,1.308120,0.460463
0.383676,0.399984,0.742155,0.323670,-0.759082,0.548221,0.709560,0.049106
0.190131,0.790639,0.276855,0.086274,-0.136273,0.966246,1.051640,0.177437
0.162609,0.673640,0.729780,0.609413,-0.722650,0.117737,0.605080,0.003967
0.618800,0.244749,0.956589,0.105630,-0.898871,1.407463,0.951560,0.121513
0.229533,0.631375,0.798288,0.342393,-0.290119,1.021254,0.624280,0.062116
0.729978,0.028763,0.158946,0.490360,-0.171814,1.226721,0.621640,0.065507
0.842937,0.664871,0.057668,0.079717,-0.014999,0.601696,1.174600,0.254553
0.094892,0.314980,0.096180,0.268291,-0.158944,1.248379,0.868920,0.153873
0.402387,0.264420,0.641076,0.547319,-0.957974,1.103862,1.322840,0.463506
0.295863,0.357008,0.753243,0.224999,-0.806801,1.476463,0.710680,0.087944
0.169143,0.797196,0.276657,0.069685,-0.596326,0.659579,1.126760,0.181180
0.163895,0.480485,0.858876,0.092673,-0.187258,1.978246,1.371800,0.445056
0.868281,0.778236,0.790368,0.372571,-0.410503,1.109421,0.684520,0.117032
0.315069,0.626319,0.108851,0.735576,-0.584942,1.230554,1.386440,0.642258
0.105485,0.532862,0.678993,0.203274,-0.177755,0.314771,1.395080,0.407350
0.510197,0.487990,0.620187,0.263946,-0.211117,1.645896,0.600200,0.079641
0.180230,0.555851,0.750371,0.706504,-0.551578,1.735788,1.345240,0.602799
0.304476,0.155399,0.250026,0.060126,-0.029452,1.821462,0.686920,0.028185
0.996585,0.613126,0.497030,0.365461,-0.385852,0.782438,1.093960,0.284333
0.810861,0.149633,0.283488,0.057203,-0.849965,1.975754,0.643960,0.038647
0.938075,0.237955,0.458223,0.772785,-0.828283,0.412137,1.129720,0.285217
0.025593,0.387581,0.912336,0.451176,-0.761756,0.205137,0.966600,0.100802
0.211317,0.238982,0.102417,0.104524,-0.645331,1.091979,1.145080,0.232533
0.197160,0.334256,0.984903,0.568886,-0.095584,1.487771,1.054280,0.343853
0.629097,0.772864,0.074103,0.351399,-0.255172,1.195479,1.120440,0.374485
0.235572,0.047091,0.543956,0.585792,-0.578804,1.984187,0.775560,0.209714
0.362886,0.654127,0.105783,0.757064,-0.559498,1.102329,1.158360,0.456010
0.596921,0.336389,0.023613,0.188501,-0.260617,0.188079,0.945160,0.050247
