,loss,val_loss
0,8.14759696368128e-05,7.840656326152384e-05
1,8.071927732089534e-05,7.92490754975006e-05
2,8.042866102186963e-05,7.892844587331638e-05
3,7.969408034114167e-05,8.125323074636981e-05
4,8.246069046435878e-05,8.282881753984839e-05
5,8.126871398417279e-05,7.943234231788665e-05
6,8.155913383234292e-05,7.863589416956529e-05
7,8.035210339585319e-05,7.943866512505338e-05
8,7.984543481143191e-05,8.654029807075858e-05
9,8.094534859992564e-05,0.00010658700921339914
10,8.148633787641302e-05,8.950899064075202e-05
11,8.024949784157798e-05,7.792813994456083e-05
12,8.022574911592528e-05,7.791544339852408e-05
13,8.042011904763058e-05,8.30025746836327e-05
14,8.03641087259166e-05,7.887247193139046e-05
15,8.133913797792047e-05,8.20612913230434e-05
16,8.047423762036487e-05,7.859277684474364e-05
17,7.988377910805866e-05,7.770083175273612e-05
18,8.038882515393198e-05,7.780006853863597e-05
19,7.955427281558514e-05,7.817508594598621e-05
20,8.078988321358338e-05,8.429490844719112e-05
21,7.976315100677311e-05,7.800710591254756e-05
22,7.943705713842064e-05,8.167021587723866e-05
23,8.002432150533423e-05,7.786771311657503e-05
24,7.991465827217326e-05,7.837420707801357e-05
25,8.020526729524136e-05,7.892590656410903e-05
26,7.838651799829677e-05,7.808986265445128e-05
27,8.025749411899596e-05,7.864088547648862e-05
28,7.976718916324899e-05,7.724644819973037e-05
29,7.954016473377123e-05,9.560197941027582e-05
30,7.96671665739268e-05,7.730965444352478e-05
31,7.977328641572967e-05,7.720505527686328e-05
32,7.928840204840526e-05,8.001806418178603e-05
33,7.91733109508641e-05,8.49007919896394e-05
34,7.921341602923349e-05,8.284729847218841e-05
35,7.967374403961003e-05,7.838028250262141e-05
36,7.871910202084109e-05,8.35187966004014e-05
37,8.0145473475568e-05,8.031574543565512e-05
38,8.027137664612383e-05,7.865153747843578e-05
39,7.856766023905948e-05,8.646903006592765e-05
40,7.838629971956834e-05,7.768597424728796e-05
41,7.846488733775914e-05,8.779583731666207e-05
42,7.948204438434914e-05,8.180246368283406e-05
43,7.879951590439305e-05,7.699203706579283e-05
44,7.891483255662024e-05,8.264350617537275e-05
45,7.904337689979002e-05,8.829637954477221e-05
46,7.996364001883194e-05,7.677527901250869e-05
47,7.857621676521376e-05,9.013968519866467e-05
48,7.838517194613814e-05,8.66303380462341e-05
49,7.877674943301827e-05,7.799141894793138e-05
50,7.869971886975691e-05,7.777005521347746e-05
51,7.989365258254111e-05,7.81454800744541e-05
52,7.845366053516045e-05,7.825306238373742e-05
53,7.877480675233528e-05,7.637693488504738e-05
54,7.804670167388394e-05,8.055462240008637e-05
55,7.843655475880951e-05,8.042633271543309e-05
56,7.843831554055214e-05,7.639623072464019e-05
57,7.789429218973964e-05,7.637870294274762e-05
58,7.841833576094359e-05,9.074470290215686e-05
59,7.889731205068529e-05,9.01365710888058e-05
60,7.839181489543989e-05,9.129465615842491e-05
61,7.80325717641972e-05,7.621417171321809e-05
62,7.791809184709564e-05,8.272891136584803e-05
63,7.740307046333328e-05,7.750586519250646e-05
64,7.754239777568728e-05,8.227210491895676e-05
65,7.819628081051633e-05,7.852419366827235e-05
66,7.796764839440584e-05,7.674862717976794e-05
67,7.80131304054521e-05,7.949436985654756e-05
68,7.90725025581196e-05,7.833150448277593e-05
69,7.74005166022107e-05,7.636765803908929e-05
70,7.775670383125544e-05,8.218524453695863e-05
71,7.688822370255366e-05,7.570499292341992e-05
72,7.810047827661037e-05,7.731342338956892e-05
73,7.711635407758877e-05,7.725223986199126e-05
74,7.817395817255601e-05,7.560128142358735e-05
75,7.907480176072568e-05,8.501982665620744e-05
76,7.816637662472203e-05,7.555010233772919e-05
77,7.761088636470959e-05,7.765276677673683e-05
78,7.671533967368305e-05,7.534834003308788e-05
79,7.696243119426072e-05,7.550619193352759e-05
80,7.686171738896519e-05,8.205019548768178e-05
81,7.789234950905666e-05,7.75047592469491e-05
82,7.64880096539855e-05,7.796266436344013e-05
83,7.697886758251116e-05,7.813858974259347e-05
84,7.656728121219203e-05,7.646472658962011e-05
85,7.765250484226272e-05,7.956672925502062e-05
86,7.774287223583087e-05,8.895670180208981e-05
87,7.693676889175549e-05,7.586367428302765e-05
88,7.731627556495368e-05,8.110616181511432e-05
89,7.622650446137413e-05,7.547857239842415e-05
90,7.651290070498362e-05,8.508020255248994e-05
91,7.656205707462505e-05,7.92350692790933e-05
92,7.739191642031074e-05,8.760822674958035e-05
93,7.67139281379059e-05,7.504602399421856e-05
94,7.72683197283186e-05,7.486766116926447e-05
95,7.714302046224475e-05,7.605808787047863e-05
96,7.70871338318102e-05,7.51931729610078e-05
97,7.688692858209834e-05,7.498738705180585e-05
98,7.658139656996354e-05,7.49484242987819e-05
99,7.650253246538341e-05,0.00010927077528322116
100,7.684394222451374e-05,7.458135951310396e-05
101,7.624026329722255e-05,8.625327609479427e-05
102,7.616878428962082e-05,7.51433108234778e-05
103,7.690201164223254e-05,7.925464888103306e-05
104,7.627139711985365e-05,7.47017256799154e-05
105,7.691356586292386e-05,7.46016958146356e-05
106,7.612945046275854e-05,7.498743798350915e-05
107,7.608327723573893e-05,7.992526661837474e-05
108,7.624696445418522e-05,7.558660581707954e-05
109,7.583480328321457e-05,7.530611765105277e-05
110,7.601974357385188e-05,8.035708742681891e-05
111,7.61897026677616e-05,8.061846165219322e-05
112,7.594261842314154e-05,7.787764479871839e-05
113,7.542045204900205e-05,7.579489465570077e-05
114,7.560865196865052e-05,7.793893746566027e-05
115,7.578281656606123e-05,7.397901208605617e-05
116,7.56017179810442e-05,7.949658902361989e-05
117,7.614053174620494e-05,8.589680510340258e-05
118,7.564005500171334e-05,7.711210491834208e-05
119,7.530314906034619e-05,7.397396257147193e-05
120,7.641145202796906e-05,7.551066664746031e-05
121,7.545702101197094e-05,7.464084046659991e-05
122,7.554463081760332e-05,7.505434768972918e-05
123,7.541602826677263e-05,7.664856093470007e-05
124,7.583588740089908e-05,9.118007437791675e-05
125,7.57834714022465e-05,8.058362436713651e-05
126,7.530386938014999e-05,7.370474486378953e-05
127,7.541952800238505e-05,7.53585045458749e-05
128,7.601817196700722e-05,7.515650941058993e-05
129,7.516345795011148e-05,7.462087523890659e-05
130,7.516131881857291e-05,7.364377233898267e-05
131,7.494081364711747e-05,7.381269824691117e-05
132,7.58271271479316e-05,8.014390914468095e-05
133,7.522253144998103e-05,7.409795216517523e-05
134,7.621675467817113e-05,7.758000720059499e-05
135,7.527384877903387e-05,7.681321585550904e-05
136,7.479856867576018e-05,7.403305789921433e-05
137,7.51188927097246e-05,7.344190089497715e-05
138,7.487150287488475e-05,7.408127567032352e-05
139,7.542967796325684e-05,8.994650124805048e-05
140,7.454319711541757e-05,7.412239938275889e-05
141,7.483093941118568e-05,8.927363523980603e-05
142,7.557121716672555e-05,7.443300273735076e-05
143,7.519016071455553e-05,7.398763409582898e-05
144,7.559098594356328e-05,7.397860463242978e-05
145,7.449440454365686e-05,7.390147220576182e-05
146,7.484246452804655e-05,7.352108514169231e-05
147,7.578411168651655e-05,7.313456444535404e-05
148,7.479537453036755e-05,7.44341523386538e-05
149,7.537155033787712e-05,7.355118577834219e-05
150,7.382006151601672e-05,7.344481855398044e-05
151,7.474061567336321e-05,7.812411058694124e-05
152,7.52068153815344e-05,7.48500315239653e-05
153,7.477915642084554e-05,7.952763553475961e-05
154,7.413564890157431e-05,7.405904034385458e-05
155,7.439971523126587e-05,7.874852599343285e-05
156,7.505515532102436e-05,7.339978037634864e-05
157,7.419272878905758e-05,7.286261097760871e-05
158,7.483830995624885e-05,7.36491710995324e-05
159,7.424236537190154e-05,7.770024240016937e-05
160,7.465707312803715e-05,7.322433521039784e-05
161,7.436645682901144e-05,7.340590673265979e-05
162,7.498922059312463e-05,7.320798613363877e-05
163,7.471610297216102e-05,7.651826308574528e-05
164,7.415203435812145e-05,7.495573663618416e-05
165,7.452313730027527e-05,8.646681089885533e-05
166,7.401104812743142e-05,7.418181485263631e-05
167,7.415097206830978e-05,7.541109516751021e-05
168,7.492581062251702e-05,7.256507524289191e-05
169,7.442329660989344e-05,7.389775419142097e-05
170,7.374836422968656e-05,7.410981197608635e-05
171,7.506059046136215e-05,7.255264063132927e-05
172,7.422552153002471e-05,8.047962182899937e-05
173,7.383050251519307e-05,8.275615255115554e-05
174,7.501585059799254e-05,0.00010163823026232421
175,7.413049752358347e-05,7.309269858524203e-05
176,7.445961091434583e-05,7.468329567927867e-05
177,7.441070192726329e-05,7.256880053319037e-05
178,7.393183477688581e-05,7.324157195398584e-05
179,7.430644473060966e-05,7.607824954902753e-05
180,7.384086347883567e-05,7.862001075409353e-05
181,7.450887642335147e-05,7.418849418172613e-05
182,7.385833305306733e-05,7.271263893926516e-05
183,7.395534339593723e-05,7.580001692986116e-05
184,7.442053174600005e-05,7.780981832183897e-05
185,7.364410703303292e-05,7.30451283743605e-05
186,7.374162669293582e-05,7.359555456787348e-05
187,7.43435084586963e-05,0.00010222111450275406
188,7.400367758236825e-05,7.755063415970653e-05
189,7.354694389505312e-05,9.341388067696244e-05
190,7.404469943139702e-05,7.412909326376393e-05
191,7.341611490119249e-05,7.254927913891152e-05
192,7.376178837148473e-05,7.247446046676487e-05
193,7.359711889876053e-05,7.446934614563361e-05
194,7.326925697270781e-05,8.052168413996696e-05
195,7.374199049081653e-05,7.274300878634676e-05
196,7.373549306066707e-05,7.311980880331248e-05
197,7.36950314603746e-05,7.384630589513108e-05
198,7.435514271492139e-05,7.297150295926258e-05
199,7.302109588636085e-05,7.191787881311029e-05
200,7.401280163321644e-05,7.73463980294764e-05
201,7.317747076740488e-05,7.216277299448848e-05
202,7.343616016441956e-05,7.248931797221303e-05
203,7.440330227836967e-05,7.354040280915797e-05
204,7.361052848864347e-05,8.191137021640316e-05
205,7.325348269660026e-05,7.263645966304466e-05
206,7.434833241859451e-05,7.237687532324344e-05
207,7.285866013262421e-05,7.605579594383016e-05
208,7.346816710196435e-05,7.559928053524345e-05
209,7.357249705819413e-05,7.273007940966636e-05
210,7.334546535275877e-05,7.759972504572943e-05
211,7.301333971554413e-05,7.274194649653509e-05
212,7.286659820238128e-05,8.664592314744368e-05
213,7.27833976270631e-05,8.165373583324254e-05
214,7.32514017727226e-05,7.192954217316583e-05
215,7.281427679117769e-05,8.083735883701593e-05
216,7.295172690646723e-05,7.269263733178377e-05
217,7.30214815121144e-05,7.182545232353732e-05
218,7.305732287932187e-05,7.271227514138445e-05
219,7.318348798435181e-05,7.264528539963067e-05
220,7.237248792080209e-05,8.688698289915919e-05
221,7.331237429752946e-05,7.568379078293219e-05
222,7.3058414272964e-05,7.154389459174126e-05
223,7.288482447620481e-05,8.231602259911597e-05
224,7.322085002670065e-05,7.803170592524111e-05
225,7.320996519410983e-05,7.127939898055047e-05
226,7.317200652323663e-05,7.2410715802107e-05
